Generation,Heuristic (FCFS),Heuristic (EDD),SSO,HFGA-TS
1,19290.722814615314,18983.56746695057,25378.445344123684,25884.744363889266
2,19290.722814615314,18983.56746695057,24573.517809450426,25576.913980417732
3,19290.722814615314,18983.56746695057,24573.517809450426,24973.675603229633
4,19290.722814615314,18983.56746695057,23898.98764905958,23897.146525644108
5,19290.722814615314,18983.56746695057,23898.98764905958,23897.146525644108
6,19290.722814615314,18983.56746695057,23301.81015736341,22952.468853225328
7,19290.722814615314,18983.56746695057,23301.81015736341,22952.468853225328
8,19290.722814615314,18983.56746695057,23256.765747310365,22952.468853225328
9,19290.722814615314,18983.56746695057,22362.746549781692,22952.468853225328
10,19290.722814615314,18983.56746695057,22362.746549781692,22562.364552505445
11,19290.722814615314,18983.56746695057,22362.746549781692,22562.364552505445
12,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
13,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
14,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
15,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
16,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
17,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
18,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
19,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
20,19290.722814615314,18983.56746695057,22101.270333731478,22562.364552505445
21,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
22,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
23,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
24,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
25,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
26,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
27,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
28,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
29,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
30,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
31,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
32,19290.722814615314,18983.56746695057,21870.80207295034,22562.364552505445
33,19290.722814615314,18983.56746695057,21681.936911364908,22562.364552505445
34,19290.722814615314,18983.56746695057,20788.151853302712,22562.364552505445
35,19290.722814615314,18983.56746695057,20788.151853302712,22562.364552505445
36,19290.722814615314,18983.56746695057,20788.151853302712,22562.364552505445
37,19290.722814615314,18983.56746695057,20788.151853302712,22522.5304229299
38,19290.722814615314,18983.56746695057,20788.151853302712,22522.5304229299
39,19290.722814615314,18983.56746695057,20693.317184864143,22522.5304229299
40,19290.722814615314,18983.56746695057,20693.317184864143,22463.421295176697
41,19290.722814615314,18983.56746695057,20693.317184864143,22463.421295176697
42,19290.722814615314,18983.56746695057,20693.317184864143,22463.421295176697
43,19290.722814615314,18983.56746695057,20693.317184864143,22463.421295176697
44,19290.722814615314,18983.56746695057,20693.317184864143,22463.421295176697
45,19290.722814615314,18983.56746695057,20549.51297169737,22463.421295176697
46,19290.722814615314,18983.56746695057,20549.51297169737,22463.421295176697
47,19290.722814615314,18983.56746695057,20549.51297169737,22463.421295176697
48,19290.722814615314,18983.56746695057,20549.51297169737,22463.421295176697
49,19290.722814615314,18983.56746695057,20549.51297169737,22463.421295176697
50,19290.722814615314,18983.56746695057,20549.51297169737,22463.421295176697
